name,ABV_lo,ABV_hi,IBU_lo,IBU_hi,SRM_lo,SRM_hi,OG_lo,OG_hi,FG_lo,FG_hi,CO2_lo,CO2_hi,matched,score
Scotch Ale/Wee Heavy,6.6,8.5,25.0,35.0,15.0,30.0,1.072,1.085,1.016,1.028,2.0,2.5,Scotch Ale/Wee Heavy,1.0
Scottish-Style Ale,2.8,5.3,9.0,25.0,6.0,15.0,1.03,1.05,1.006,1.018,1.5,2.0,Scottish-Style Ale,1.0
Belgian-Style Flanders,4.8,6.6,5.0,18.0,12.0,25.0,1.044,1.056,1.008,1.016,2.0,2.5,Belgian-Style Flanders,1.0
Belgian-Style Fruit Lambic,5.0,8.9,15.0,21.0,,,1.04,1.072,1.008,1.016,4.0,4.0,Belgian-Style Fruit Lambic,1.0
Belgian-Style Lambic/Gueuze,6.3,8.9,9.0,23.0,6.0,13.0,1.044,1.056,1.0,1.01,1.0,1.5,Belgian-Style Lambic/Gueuze,1.0
Contemporary Gose,4.4,5.4,10.0,15.0,3.0,3.0,1.036,1.056,1.008,1.012,3.3,4.5,Contemporary Gose,1.0
American Lager,4.1,5.1,5.0,15.0,2.0,6.0,1.04,1.048,1.006,1.014,2.2,2.7,American Lager,1.0
Bohemian-Style Pilsener,4.1,5.1,30.0,45.0,3.0,7.0,1.044,1.056,1.014,1.02,2.0,2.5,Bohemian-Style Pilsener,1.0
European-Style Export,5.1,6.1,23.0,29.0,3.0,6.0,1.048,1.056,1.01,1.014,2.0,2.5,European-Style Export,1.0
German-Style Helles,4.8,5.6,18.0,25.0,4.0,5.5,1.044,1.05,1.008,1.012,2.0,2.5,German-Style Helles,1.0
German-Style Pilsener,4.6,5.3,25.0,40.0,3.0,4.0,1.044,1.055,1.006,1.012,2.0,2.5,German-Style Pilsener,1.0
American Black Ale,6.3,7.6,50.0,70.0,35.0,50.0,1.056,1.075,1.012,1.018,2.0,2.5,American Black Ale,1.0
Chocolate Beer,,,15.0,40.0,,,1.03,1.11,1.006,1.03,,,Chocolate Beer,1.0
Coffee Beer,,,15.0,45.0,,,1.03,1.11,1.006,1.03,,,Coffee Beer,1.0
Fruit and Field Beer,,,5.0,45.0,,,1.03,1.11,1.006,1.03,,,Fruit and Field Beer,1.0
Herb and Spice Beer,,,5.0,40.0,,,1.03,1.11,1.006,1.03,,,Herb and Spice Beer,1.0
Honey Beer,,,,,,,1.03,1.11,1.006,1.03,,,Honey Beer,1.0
Pumpkin Beer,,,,,,,1.03,1.11,1.006,1.03,,,Pumpkin Beer,1.0
Session Beer,4.0,5.0,10.0,35.0,,,1.034,1.04,1.004,1.01,,,Session Beer,1.0
Specialty Beer,,,,,,,1.03,1.14,1.006,1.03,,,Specialty Beer,1.0
